slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
subscan,Subscan,,,Subscan,"[""Daily Transfer Amount"",""Daily Signed Extrinsic Number"",""Daily Unsigned Extrinsic Number"",""Daily EVM Transaction Number"",""Daily Active Account & Newly Created Account"",""Daily Total Account & Holder"",""Daily Fees Used"",""Daily Average Block Time"",""Average Ref Size"",""Daily XCM Transfer"",""Daily XCM Message"",""XCM Message Flow"",""XCM Transfer Flow"",""Daily Native Token Circulating Supply"",""Daily Vesting Schedule""]","[""SLA""]",FALSE,"[""JSON-RPC"", ""REST API""]",,"[""Blocks"",""Extrinsics"",""Transfers"",""Events"",""Assets"",""Accounts"",""Logs"",""Collators"",""EVM Accounts"",""ERC20 Tokens"", ""NFT"", ""XCM"", ""Contracts"", ""Government"", ""Democracy proposals""]",TRUE,TRUE,"Free, paid versions of API for $19-$399 for 5/10/30 RPS. Yearly discounts apply",
suiexplorer,Sui,,"[""[Explore](https://suiexplorer.com/)""]",Custom,"[""Accounts"",""Transactions"",""Objects"",""Blocks""]",,FALSE,,,"[""Address"",""Transaction"",""Block"",""Object""]",FALSE,TRUE,Free,
suiscan,SuiScan,,"[""[Explore](https://suiscan.xyz/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Validators"",""Packages"",""Objects"",""Coins"",""NFTs""]","[""Gas Tracker"",""Staking Analytics"",""Historical Epochs"",""Protocol Insights""]",FALSE,,,"[""Address"",""Transaction"",""Block"",""Package"",""Object"",""Validator""]",FALSE,TRUE,Free,
suivision,BlockVision,,"[""[Explore](https://suivision.xyz/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Validators"",""Tokens"",""NFTs"",""DeFi""]","[""Project Leaderboard"",""Staking Analytics"",""Protocol Insights""]",FALSE,,,"[""Address"",""Transaction"",""Block"",""Token"",""Validator""]",FALSE,TRUE,Free,
teloscan,Teloscan,,"[""[Explore](https://www.teloscan.io/)""]",Custom,"[""Transactions"",""Blocks"",""Contracts"",""Token transfers""]","[""Official Telos explorer""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block"",""Contract"",""Token""]",TRUE,TRUE,Free,
tenderly-explorer,Tenderly,,"[""[Explore](https://docs.tenderly.co/developer-explorer)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Contracts"",""Gas""]","[""Virtual TestNet Creation"",""Smart Contract Debugging"",""Gas Optimization"",""Transaction Trace""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free/$50/$500/mo, $45/$450/yearly",
tokenterminal-explorer,token terminal,,"[""[Explore](https://tokenterminal.com/products/explorer)""]",Custom,"[""Protocol Revenue"",""Daily Active Users"",""Trading Fees"",""Financial Metrics""]","[""Standardized Metrics"",""Chart Editing"",""CSV Downloads""]",FALSE,"[""REST API""]",,"[""Protocol"",""Sector"",""Contract""]",FALSE,TRUE,Free/$350/mo,
tokenview,TokenView,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token/NFT Explorer"",""RPC Service""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
tonscan,"Bakkenbaeck, Bastion Digital",Tonscan.org,"[""[Explore](https://tonscan.org/)""]",Custom,"[""Addresses"",""Transactions"",""Blocks"",""Validators"",""Accounts""]","[""Interactive Graphs"",""Address Labeling"",""Custom Indexer""]",FALSE,"[""REST API"",""JSON-RPC""]","[""Python"",""TON Kotlin""]","[""Address"",""Transaction"",""Block"",""Domain""]",TRUE,TRUE,Free,
tonviewer,Brave,Tonviewer,"[""[Explore](https://tonviewer.com/)""]",Custom,"[""Addresses"",""Transactions"",""Blocks"",""Smart Contracts""]","[""Trace Visualization"",""Analysis tools beyond basic transaction"",""Block browsing""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block""]",FALSE,TRUE,Free,
wormholescan,Wormhole,,"[""[Explore](https://wormholescan.io/)""]",Custom,"[""Cross-Chain Messaging"",""Token Transfers""]","[""Bridge Analytics""]",FALSE,"[""REST API""]",,"[""Transaction Hash"",""VAA""]",FALSE,TRUE,Free,
xdcscan,XDC Network,,"[""[Explore](https://xdcscan.io/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Mainnet explorer"",""Apothem and Devnet explorers available""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
xrpscan,XRPScan,,"[""[Explore](https://xrpscan.com/)""]",Custom,"[""Accounts"",""Transactions"",""Ledgers""]","[""XRPL Analytics"",""Simple Lookup""]",FALSE,,,"[""Address"",""Transaction Hash"",""Ledger""]",FALSE,TRUE,Free,
